frame,max_load,min_load,avg_load,stddev_load,imbalance
132,429.00,0.00,114.00,182.1991,2.7632
133,429.00,0.00,114.00,182.1991,2.7632
134,429.00,0.00,114.00,182.1991,2.7632
135,429.00,0.00,107.25,185.7624,3.0000
136,429.00,0.00,107.25,185.7624,3.0000
137,429.00,0.00,114.00,182.1991,2.7632
138,429.00,0.00,114.00,182.1991,2.7632
139,429.00,0.00,107.25,185.7624,3.0000
140,0.00,0.00,0.00,0.0000,0.0000
141,429.00,0.00,107.25,185.7624,3.0000
142,0.00,0.00,0.00,0.0000,0.0000
143,429.00,0.00,120.25,178.5726,2.5676
144,429.00,0.00,120.25,178.5726,2.5676
145,429.00,0.00,120.25,178.5726,2.5676
146,429.00,0.00,120.25,178.5726,2.5676
147,429.00,0.00,120.25,178.5726,2.5676
148,429.00,0.00,120.25,178.5726,2.5676
149,429.00,0.00,120.25,178.5726,2.5676
150,0.00,0.00,0.00,0.0000,0.0000
151,429.00,0.00,107.25,185.7624,3.0000
152,428.00,0.00,113.50,181.8866,2.7709
153,428.00,0.00,107.00,185.3294,3.0000
154,0.00,0.00,0.00,0.0000,0.0000
155,0.00,0.00,0.00,0.0000,0.0000
156,427.00,0.00,106.75,184.8964,3.0000
157,427.00,0.00,113.25,181.4544,2.7704
158,426.00,0.00,113.00,181.0221,2.7699
159,426.00,0.00,113.00,181.0221,2.7699
160,426.00,0.00,106.50,184.4634,3.0000
161,424.00,0.00,112.25,180.2781,2.7773
162,424.00,0.00,106.00,183.5974,3.0000
163,27.00,0.00,13.00,13.0192,1.0769
164,423.00,0.00,118.75,175.9806,2.5621
165,422.00,0.00,112.25,179.1736,2.7595
166,421.00,0.00,105.25,182.2983,3.0000
167,422.00,0.00,111.75,179.4135,2.7763
168,420.00,0.00,105.00,181.8653,3.0000
169,420.00,0.00,118.00,174.6840,2.5593
170,420.00,0.00,118.00,174.6840,2.5593
171,420.00,0.00,118.00,174.6840,2.5593
172,420.00,0.00,118.00,174.6840,2.5593
173,420.00,0.00,105.00,181.8653,3.0000
174,420.00,0.00,118.00,174.6840,2.5593
175,420.00,0.00,111.75,178.3092,2.7584
176,420.00,0.00,111.75,178.3092,2.7584
177,419.00,0.00,112.00,177.6415,2.7411
178,419.00,0.00,111.75,177.7588,2.7494
179,419.00,0.00,119.00,173.5958,2.5210
180,419.00,0.00,111.75,177.7588,2.7494
181,419.00,0.00,119.50,173.3385,2.5063
182,418.00,0.00,111.50,177.3267,2.7489
183,418.00,0.00,119.00,173.0347,2.5126
184,418.00,0.00,111.50,177.3267,2.7489
185,418.00,0.00,111.50,177.3267,2.7489
186,418.00,0.00,111.50,177.3267,2.7489
187,418.00,0.00,111.50,177.3267,2.7489
188,418.00,0.00,111.50,177.3267,2.7489
189,418.00,0.00,104.50,180.9993,3.0000
190,28.00,0.00,7.00,12.1244,3.0000
191,417.00,0.00,111.25,176.8946,2.7483
192,417.00,0.00,111.25,176.8946,2.7483
193,417.00,0.00,111.25,176.8946,2.7483
194,415.00,0.00,103.75,179.7003,3.0000
195,415.00,0.00,103.75,179.7003,3.0000
196,414.00,0.00,110.50,175.5983,2.7466
197,413.00,0.00,119.75,169.8799,2.4489
198,412.00,0.00,119.75,169.3286,2.4405
199,412.00,0.00,119.50,169.4484,2.4477
200,410.00,0.00,120.00,168.1131,2.4167
201,410.00,0.00,109.50,173.8699,2.7443
202,410.00,0.00,109.50,173.8699,2.7443
203,410.00,0.00,102.50,177.5352,3.0000
204,409.00,0.00,102.25,177.1022,3.0000
205,408.00,0.00,102.00,176.6692,3.0000
206,408.00,0.00,109.00,173.0058,2.7431
207,408.00,0.00,102.00,176.6692,3.0000
208,28.00,0.00,7.00,12.1244,3.0000
209,407.00,0.00,101.75,176.2362,3.0000
210,407.00,0.00,108.75,172.5737,2.7425
211,405.00,0.00,101.25,175.3701,3.0000
212,28.00,0.00,7.00,12.1244,3.0000
213,403.00,0.00,100.75,174.5041,3.0000
214,402.00,0.00,100.50,174.0711,3.0000
215,401.00,0.00,107.25,169.9814,2.7389
216,400.00,0.00,119.50,162.9133,2.3473
217,398.00,0.00,120.00,161.6354,2.3167
218,398.00,0.00,119.50,161.8417,2.3305
219,396.00,0.00,120.00,160.5740,2.3000
220,395.00,0.00,105.75,167.3893,2.7352
221,395.00,0.00,119.50,160.2443,2.3054
222,395.00,0.00,119.25,160.3455,2.3124
223,395.00,0.00,119.25,160.3455,2.3124
224,395.00,0.00,105.75,167.3893,2.7352
225,394.00,0.00,98.50,170.6070,3.0000
226,393.00,0.00,98.25,170.1740,3.0000
227,392.00,0.00,98.00,169.7410,3.0000
228,391.00,0.00,97.75,169.3080,3.0000
229,391.00,0.00,104.75,165.6614,2.7327
230,60.00,0.00,15.00,25.9808,3.0000
231,390.00,0.00,112.25,162.1579,2.4744
232,390.00,0.00,112.25,162.1579,2.4744
233,390.00,0.00,112.25,162.1579,2.4744
234,390.00,0.00,112.25,162.1579,2.4744
235,390.00,0.00,112.75,161.9959,2.4590
236,387.00,0.00,112.75,160.4796,2.4324
237,384.00,0.00,113.00,158.9056,2.3982
238,384.00,0.00,112.25,159.1232,2.4209
239,384.00,0.00,119.25,154.5823,2.2201
240,383.00,0.00,112.50,158.5505,2.4044
241,383.00,0.00,119.25,154.0672,2.2117
242,381.00,0.00,112.75,157.4887,2.3792
243,380.00,0.00,112.50,157.0629,2.3778
244,380.00,0.00,112.25,157.1311,2.3853
245,379.00,0.00,112.50,156.5703,2.3689
246,379.00,0.00,112.25,156.6371,2.3764
247,378.00,0.00,112.50,156.0793,2.3600
248,376.00,0.00,112.75,155.0409,2.3348
249,376.00,0.00,112.25,155.1650,2.3497
