frame,thread_id,particles_processed,time_spent_ms,migrations_sent,migrations_received,insertions,removals,subdivisions,merges
35,3,28,0.211,0,0,28,0,0,0
36,0,431,0.116,0,1,431,0,0,0
36,1,0,0.000,0,0,0,0,0,0
36,2,22,0.124,0,0,22,0,0,0
36,3,28,0.125,0,0,28,0,0,0
37,0,430,0.100,0,0,430,0,0,0
37,1,0,0.000,0,0,0,0,0,0
37,2,22,0.115,0,0,22,0,0,0
37,3,28,0.110,0,0,28,0,0,0
38,0,430,0.089,0,0,430,0,0,0
38,1,0,0.000,1,0,0,0,0,0
38,2,22,0.093,0,0,22,0,0,0
38,3,0,0.000,0,0,0,0,0,0
39,0,0,0.000,0,0,0,0,0,0
39,1,0,0.000,0,0,0,0,0,0
39,2,0,0.000,0,0,0,0,0,0
39,3,0,0.000,0,0,0,0,0,0
40,0,0,0.000,0,0,0,0,0,0
40,1,0,0.000,0,0,0,0,0,0
40,2,0,0.000,0,0,0,0,0,0
40,3,0,0.000,0,0,0,0,0,0
41,0,430,0.120,0,0,430,0,0,0
41,1,0,0.000,0,0,0,0,0,0
41,2,0,0.000,0,0,0,0,0,0
41,3,0,0.000,0,0,0,0,0,0
42,0,0,0.000,0,0,0,0,0,0
42,1,0,0.000,0,0,0,0,0,0
42,2,0,0.000,0,0,0,0,0,0
42,3,0,0.000,1,0,0,0,0,0
43,0,430,0.113,0,0,430,0,0,0
43,1,0,0.000,0,0,0,0,0,0
43,2,25,0.117,0,1,25,0,0,0
43,3,0,0.000,0,0,0,0,0,0
44,0,430,0.183,0,0,430,0,0,0
44,1,0,0.000,0,0,0,0,0,0
44,2,24,0.183,0,0,24,0,0,0
44,3,27,0.191,0,0,27,0,0,0
45,0,430,0.103,0,0,430,0,0,0
45,1,0,0.000,0,0,0,0,0,0
45,2,24,0.111,0,0,24,0,0,0
45,3,27,0.111,0,0,27,0,0,0
46,0,430,0.112,0,0,430,0,0,0
46,1,0,0.000,0,0,0,0,0,0
46,2,24,0.118,0,0,24,0,0,0
46,3,27,0.120,0,0,27,0,0,0
47,0,430,0.106,0,0,430,0,0,0
47,1,0,0.000,0,0,0,0,0,0
47,2,24,0.109,0,0,24,0,0,0
47,3,27,0.110,0,0,27,0,0,0
48,0,429,0.107,1,0,429,0,0,0
48,1,0,0.000,0,0,0,0,0,0
48,2,24,0.110,0,0,24,0,0,0
48,3,27,0.110,0,0,27,0,0,0
49,0,429,0.173,0,0,429,0,0,0
